"商品特定コード指定","システム商品コード","独自商品コード","商品名","販売価格","数量","オプショングループ"
"0","000000000004","omakase-n3","おまかせパソコン 中古 ノートパソコン 第6世代 Core i5 新品SSD256GB メモリ8GB 15インチワイド Windows11 Office付き","23999","0","[SP4180]"
"0","000000000007","omakase-n4ms","おまかせパソコン  Core Celeron以上 新品SSD128GB メモリ4GB 14型以上 Windows11 Office付き　中古 ノートパソコン","15999","0","[SP1060]"
"0","000000000009","omakase-n5","おまかせパソコン 中古 ノートパソコン 第8世代 Core i5 新品SSD256GB メモリ8GB Windows11 Office付き","29999","0","[SP4180]"
"0","000000000012","omakase-n9","おまかせパソコン 中古 ノートパソコン 第8世代 Core i5 新品SSD1TB メモリ16GB Windows11 Office付き","39999","0","[SP5650]"
"0","000000000018","omakase-n2ms","おまかせパソコン 15型 第6世代 Core i3 メモリ8GB 新品SSD128GB Windows11 中古 ノートパソコン ","17999","25","[SP4170]"
"0","000000000054","omakase-n11","おまかせモバイルノートPC 12～13インチ 第8世代 Core i5 メモリ8GB 新品SSD256GB 無線LAN Bluetooth Windows11 Pro ノートパソコン Office付き 軽量 モバイル 中古","28999","23","[SP4180]"
"0","000000000055","t-tea10aa51bk01","タブレット テックウインド CLIDE A10A A10A-A51BK Wi-Fi ブラック Android アンドロイド TEKWIN 中古","11999","0",""
"0","000000000059","n-fuxa574k02","Windows11インストール済み 富士通 LIFEBOOK A574/K Core i5 4310M メモリ8GB 新品SSD256GB 15.6型 中古","36999","0","[SP4180]"
"0","000000000066","n-nemvk23txu02","Windows11インストール済み NEC VersaPro VK23T/X-U Core i5 6200U メモリ8GB 新品SSD256GB 15.6型 中古","42999","0","[SP4180]"
"0","000000000068","n-nexvk17hbbd04","Windows11インストール済み NEC VersaPro VK17H/BB-D Core i7 2637M メモリ4GB 新品SSD128GB 12.1型 中古","26999","0","[SP1300]"
"0","000000000070","n-nexvk22tnvn02","Windows11インストール済み NEC VersaPro VK22T/NV-N Core i5 5200U メモリ4GB SSD256GB 13.3型 中古","21900","0","[SP4150]"
"0","000000000071","n-nexvk23tgvu02","Windows11インストール済み NEC VersaPro VK23T/GV-U Core i5 6200U メモリ8GB SSD256GB 13.3型 中古","25999","0","[SP2480]"
"0","000000000082","n-paxrz401","Webカメラ Panasonic Let's note CF-RZ4 Core M 5Y70 メモリ4GB SSD128GB 10.1型 Windows11 Office付 中古","24800","1","[SP4150]"
"0","000000000089","omakase-n11-w","【訳あり】 おまかせモバイルノートPC 12～13インチ 第8世代 Core i5 メモリ8GB 新品SSD256GB 無線LAN Bluetooth Windows11 Pro ノートパソコン Office付き 軽量 モバイル 中古","25999","17","[SP4180]"
"0","000000000091","omakase-n2ms-w","訳あり おまかせパソコン 15型 第6世代 Core i3 メモリ8GB 新品SSD128GB Windows11 中古 ノートパソコン ","15999","13","[SP4170]"
